variableMetadata	chromato	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	name	formula	monoisotopic_mass	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	chebi_id	hmdb_id	pubchem_id	inchikey	inchi
M289.0335T563.18	hilic	M289T563	289.033522951812	563.178650176324	[418][M]-	[2M-2H+K]- 126.036 [M-H-C5H8O4]- 422.084	19	180	@M387.0105T561.68_1|-(H3PO4)	D-Sedoheptulose 7-phosphate;Sedoheptulose 7-phosphate	C7H15O10P	290.04028	C05382				CHEBI:15721		CID165007	JDTUMPKOJBQPKX-GBNDHIKLSA-N	InChI=1S/C7H15O10P/c8-1-3(9)5(11)7(13)6(12)4(10)2-17-18(14,15)16/h4-8,10-13H,1-2H2,(H2,14,15,16)/t4-,5-,6-,7+/m1/s1
M292.1403T259.97	hilic	M292T260	292.140321562353	259.967237268814	[424][M]-		1	181	@M293.1437T259.53|-13C												
M296.6173T134.78_1	hilic	M297T135_1	296.61733805855	134.778109690013	[434][M]2-	[M-H+Cl]2- 559.275	18	182	@M297.119T134.76_2|-13Cdb												
M296.6173T91.65_1	hilic	M297T92_1	296.617297903818	91.6548674823318			11	183	@M297.1191T91.82_2|-13Cdb|@M297.6153T92.11|-15N												
M298.0465T550.48	hilic	M298T550	298.046543435214	550.482837530007		[M-H-C3H2O3]- 385.054	6	184	@M396.0235T550.88|-(H3PO4)												
M494.0007T550.5	hilic	M494T550	494.000660046565	550.4995260026			6	184	@M396.0235T550.88|+(H3PO4)|@M591.9774T550.66|-(H3PO4)												
M591.9774T550.66	hilic	M592T551	591.977356835024	550.660248634756			6	184	@M494.0007T550.5|+(H3PO4)|@M689.9545T550.85|-(H3PO4)												
M689.9545T550.85	hilic	M690T551	689.954522352258	550.854981341417			6	184	@M591.9774T550.66|+(H3PO4)												
M298.0701T538.81	hilic	M298T539	298.070117640331	538.813459645663	[439][M]-		10	185	@M299.0734T538.82|-13C|@M300.0739T538.8|-18O|-13C2												
M299.0627T405	hilic	M299T405	299.062667452264	404.998877159542	[443][M]-	[2M+Cl]- 132.048	43	186	@M300.066T404.99|-13C												
M300.0092T350.84	hilic	M300T351	300.009204208053	350.842470389961	[447][M]-		4	187	@M301.0126T350.58|-13C|@M302.0072T350.84|-34S|-41K|-37Cl												
M300.0494T527.11	hilic	M300T527	300.049404454165	527.108575552548	[439][M+2]-		748	188	@M301.0525T527.08|-13C	N-Acetyl-α-D-glucosamine 1-phosphate	C8H16NO9P	301.05627	C04501				CHEBI:16446	HMDB01367	CID440364	FZLJPEPAYPUMMR-FMDGEEDCSA-N	InChI=1S/C8H16NO9P/c1-3(11)9-5-7(13)6(12)4(2-10)17-8(5)18-19(14,15)16/h4-8,10,12-13H,2H2,1H3,(H,9,11)(H2,14,15,16)/t4-,5-,6-,7-,8-/m1/s1
M301.2176T77.78	hilic	M301T78	301.217598520448	77.775648944401	[450][M]-	[M-2H+Na]- 280.241	5	189	@M302.2206T77.73|-13C	cis-5,8,11,14,17-Eicosapentaenoic acid;Eicosapentaenoic acid	C20H30O2	302.22458	C06428	Lipid metabolism	Fatty acids	Polyinsaturated	CHEBI:28364	HMDB01999	CID446284	JAZBEHYOTPTENJ-JLNKQSITSA-N	InChI=1S/C20H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h3-4,6-7,9-10,12-13,15-16H,2,5,8,11,14,17-19H2,1H3,(H,21,22)/b4-3-,7-6-,10-9-,13-12-,16-15-
M302.0653T186.95	hilic	M302T187	302.065260120804	186.949559456647	[453][M]-	[M+Cl+CF3COOH]- 133.098	22	190	@M304.0623T186.97|-34S|-41K|-37Cl|@M305.0657T187.13|-13C-37Cl|-13C-34S												
M302.1008T263.6	hilic	M302T264	302.100845518568	263.601294817214	[454][M]-	[3M+Cl]- 89.0422 [M+Cl]- 267.136	1	191	@M303.1042T264.03|-13C												
M302.5339T556.1_1	hilic	M303T556_1	302.533917984403	556.104199025937			6	192	@M303.0357T556.06_2|-13Cdb|@M303.5364T556.82|-13C												
M303.06T348.74	hilic	M303T349	303.060001506748	348.738752567613	[455][M]-	[M+Cl+HCOOH]- 222.089	4	193	@M304.0632T348.71|-13C												
M303.2332T77.54	hilic	M303T78	303.233183157241	77.540546390524	[456][M]-		5	194	@M304.2365T77.53|-13C												
M304.5798T573.58_1	hilic	M305T574_1	304.579822817122	573.583701523708	[459][M]2-	[M-2H]2- 611.177	17	195	@M305.0818T573.58_2|-13Cdb												
M305.0692T597.55	hilic	M305T598	305.069192264458	597.548944228869	[462][M]-	[M-H]- 306.074	27	196	@M305.5707T597.56_1|-13Cdb|@M306.0667T597.64_2|-15N|@M307.07T597.95_2|-18O|-41K|-37Cl												
M306.5686T597.73_1	hilic	M307T598_1	306.568567363719	597.731188436605			27	196	@M305.5707T597.56_1|+15N|@M306.0667T597.64_2|+13Cdb|@M307.07T597.95_2|-13Cdb												
M305.2488T77.45	hilic	M305T77	305.248783925438	77.4531936093934	[456][M+2]-		5	197	@M306.2522T77.42|-13C	cis-8,11,14-Eicosatrienoic acid;8,11,14-Eicosatrienoic acid	C20H34O2	306.25588	C03242	Lipid metabolism	Fatty acids	Polyinsaturated	CHEBI:53486	HMDB02925	CID5280581	HOBAELRKJCKHQD-QNEBEIHSSA-N	InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13H,2-5,8,11,14-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-
M307.1151T490.67	hilic	M307T491	307.11508728741	490.67218498798	[466][M]-	[M-H+HCOOH]- 262.115	15	198	@M308.1184T490.79|-13C												
M308.2684T77.25	hilic	M308T77	308.268409798127	77.249418932859	[468][M+1]-		5	199	@M307.2645T77.13|+13C|@M330.2524T76.69|-Na												
M329.2488T76.68	hilic	M329T77	329.248836202697	76.6834806334865	[509][M+2]-		5	199	@M307.2645T77.13|+Na|@M330.2524T76.69|-13C												
M308.0992T562.35	hilic	M308T562	308.099222131206	562.34818817762	[469][M]-	[M+Cl]- 273.135	19	200	@M309.1023T562.46|-13C|@M406.0762T560.74|-(H3PO4)												
M309.1744T75.95	hilic	M309T76	309.17438855076	75.9476551684051	[473][M]-		5	201	@M353.2005T75.8|-(C2H4O)												
M397.2265T75.49	hilic	M397T75	397.226529676623	75.4899908039902	[610][M]-		5	201	@M353.2005T75.8|+(C2H4O)												
M309.2802T76.89	hilic	M309T77	309.280179027085	76.885343836485	[468][M+2]-		5	202	@M310.2833T77.04|-13C												
M310.1261T476.1	hilic	M310T476	310.126057477843	476.099743767285		[M+Cl]- 275.153	2	203	@M311.1292T476.19|-13C												
M311.1101T469.98	hilic	M311T470	311.110082008033	469.980022785616	[479][M]-	[M+Cl]- 276.137	2	204	@M312.1134T470.19|-13C|@M313.1137T470.06|-18O|-13C2												
M312.0861T394.32	hilic	M312T394	312.086105530561	394.321239554675	[483][M]-	[M-2H+K]- 275.138	7	205	@M313.0893T394.02|-13C|@M314.0832T394.29|-34S|-41K|-37Cl												
M315.0968T526.14	hilic	M315T526	315.096813968349	526.143074466753		[2M-2H+Na]- 147.056	16	206	@M462.1503T525.09|-(C5H7O3N)-(H2O)												
M315.0939T419.8	hilic	M315T420	315.093855246302	419.802445528914	[488][M]-	[M-H]- 316.101	1504	207	@M316.097T419.92|-13C												
M315.1678T428.2	hilic	M315T428	315.167753357138	428.19886532633	[489][M]-		3	208	@M316.1709T428.32|-13C												
M319.228T78.21	hilic	M319T78	319.228037761374	78.2097395706242	[494][M]-	[M-H-CH4]- 336.268	5	209	@M320.2319T78.22|-13C												
M321.0443T85.24	hilic	M321T85	321.044297907857	85.235707160542			29	210	@M322.0481T85.65|-13C												
M322.045T556.56	hilic	M322T557	322.044973996511	556.560811054549			6	211	@M420.0222T555.98|-(H3PO4)												
M323.0291T549.36	hilic	M323T549	323.029105734998	549.36151700389			554	212	@M421.0062T549.28|-(H3PO4)	UMP;Uridine monophosphate;5'-Uridylic acid;Uridine 5'-monophosphate	C9H13N2O9P	324.03587	C00105	Nucleotide metabolism	Pyrimidine metabolism	Uridine	CHEBI:16695	HMDB00288	CID6030	DJJCXFVJDGTHFX-XVFCMESISA-N	InChI=1S/C9H13N2O9P/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(20-8)3-19-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1
M324.094T507.46_2	hilic	M324T507_2	324.094047648321	507.45529892591	[498][M]-		15	213	@M325.0973T507.36|-13C	N-Glycolylneuraminic acid	C11H19NO10	325.1009	C03410	Carbohydrate metabolism	Amino sugar and nucleotide sugar matabolism	Others	CHEBI:62084	HMDB00833	CID123802	FDJKUWYYUZCUJX-AJKRCSPLSA-N	InChI=1S/C11H19NO10/c13-2-5(16)8(18)9-7(12-6(17)3-14)4(15)1-11(21,22-9)10(19)20/h4-5,7-9,13-16,18,21H,1-3H2,(H,12,17)(H,19,20)/t4-,5+,7+,8+,9+,11-/m0/s1
M326.9893T552.22	hilic	M327T552	326.989256931791	552.216343777615		[M+Cl]- 292.02	6	214	@M424.9664T552.26|-(H3PO4)												
M436.1595T491.65	hilic	M436T492	436.15947052385	491.64684054165	[650][M]-		15	215	@M328.1171T491.83|+(C3H8O4)|@M437.1629T491.88|-13C												
M329.1125T525.67	hilic	M329T526	329.112465946371	525.669181894935	[511][M]-	[3M+Cl]- 98.0545	16	216	@M330.1157T525.67|-13C												
M329.1512T174.14	hilic	M329T174	329.151200132747	174.137938097912	[512][M]-	[2M-H]- 165.078	22	217	@M330.1546T174.31|-13C												
M330.5755T550.52_1	hilic	M331T551_1	330.575459178475	550.521871679923		[M-2H]2- 663.162	6	218	@M331.0773T550.54_2|-13Cdb|@M331.5726T550.61|-15N												
M331.128T492.32	hilic	M331T492	331.128024543979	492.316842148062			15	219	@M493.1809T494.79|-(C6H10O5)												
M331.2646T76.68_2	hilic	M331T77_2	331.264570458848	76.6817383372362	[513][M]-	[M-H-COCH2]- 374.275	5	220	@M332.2681T76.78|-13C												
M332.1005T335.21	hilic	M332T335	332.100531502145	335.214217049139	[514][M]-	[M-H]- 333.105	4	221	@M333.1039T335.65|-13C												
M333.0598T561.41	hilic	M333T561	333.059766613203	561.40982581842	[515][M]-	[M+Cl]- 298.091	19	222	@M334.0631T561.51|-13C|@M335.0639T561.63|-18O|-13C2|@M431.0368T560.09|-(H3PO4)												
M333.0941T241.2	hilic	M333T241	333.09411819977	241.199582359529	[516][M]-	[M+Cl]- 298.128	1	223	@M334.0975T241.36|-13C												
M334.0819T442.4	hilic	M334T442	334.081880048649	442.395778151946	[517][M]-	[M-H]- 335.09	3	224	@M335.0853T442.5|-13C|@M336.0778T442.45|-34S|-41K|-37Cl												
M337.0782T509.03	hilic	M337T509	337.078183417858	509.028685095773	[520][M]-		15	225	@M338.0816T509.29|-13C												
M340.1253T512.25	hilic	M340T512	340.12529466619	512.250818567426	[525][M]-	[M-H+NH3]- 324.112	15	226	@M341.1291T511.76|-13C												
M342.1198T418.62	hilic	M342T419	342.119753419249	418.618730987502	[528][M]-		1504	227	@M343.1231T418.5|-13C												
M343.0886T408.76	hilic	M343T409	343.08855662347	408.757492870434	[530][M]-	[M-H]- 344.098	20	228	@M344.092T408.67|-13C												
M402.1258T536.64	hilic	M402T537	402.125819608205	536.640122015618	[617][M]-	[M-H-C5H8O4]- 535.177	10	229	@M343.1137T536.88|+(CH3COO.)|@M403.1293T536.74|-13C												
M346.0562T488.38_1	hilic	M346T488_1	346.056189252168	488.380565690673	[534][M]-		15	230	@M347.0596T488.51|-13C|@M526.1196T487.12|-(C6H10O5)-(H2O)	5'-AMP;5'-Adenosine monophosphate;Adenosine 5'-monophosphate|3'-AMP;Adenosine monophosphate;3'-Adenylic acid;3'-Adenosine monophosphate,|dGMP;Deoxyguanylic acid;2'-Deoxyguanosine 5'-monophosphate;Deoxyguanosine monophosphate	C10H14N5O7P	347.0631	C00020|C01367|C00362	Nucleotide metabolism	Purine metabolism	Adenine|Guanine	CHEBI:16027|CHEBI:28931|CHEBI:16192	HMDB00045|HMDB03540|HMDB01044	CID6083|CID41211|CID65059	UDMBCSSLTHHNCD-KQYNXXCUSA-N|LNQVTSROQXJCDD-KQYNXXCUSA-N|LTFMZDNNPPEQNG-KVQBGUIXSA-N	InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1|InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(17)7(4(1-16)21-10)22-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1|InChI=1S/C10H14N5O7P/c11-10-13-8-7(9(17)14-10)12-3-15(8)6-1-4(16)5(22-6)2-21-23(18,19)20/h3-6,16H,1-2H2,(H2,18,19,20)(H3,11,13,14,17)/t4-,5+,6+/m0/s1
M527.1232T487.21	hilic	M527T487	527.123228854255	487.207597874287	[725][M+1]-		15	230	@M347.0596T488.51|+(C6H10O5)+(H2O)|@M526.1196T487.12|+13C|@M561.1119T491.12|-(H2S)												
M561.1119T491.12	hilic	M561T491	561.111949020008	491.12135551086		[M+Cl]- 526.142	15	230	@M527.1232T487.21|+(H2S)|@M603.1589T490.76|-(C3H6)												
M603.1589T490.76	hilic	M603T491	603.158925836398	490.762394438028		[M-H]- 604.169	15	230	@M561.1119T491.12|+(C3H6)												
M348.5228T620.4	hilic	M349T620	348.522773528414	620.401411381551	[538][M]2-	[M-H+Cl]2- 663.083 [M-2H]2- 699.06	26	231	@M349.0247T620.53|-13Cdb												
M351.0574T598.49	hilic	M351T598	351.057396289846	598.490233888921	[540][M]-	[M-H+HCOOH]- 306.074	27	232	@M352.0608T598.54|-13C|@M353.0618T598.7|-18O|-13C2												
M353.0398T186.95	hilic	M353T187	353.039796051676	186.946771717042	[542][M]-	[M+Cl+CF3COOH]- 184.083	22	233	@M354.0432T186.92|-13C|@M355.0369T186.95|-34S|-41K|-37Cl												
M353.6113T626.31_1	hilic	M354T626_1	353.61125164653	626.314999412656			26	234	@M353.1095T626.31|+13Cdb|@M354.112T626.47_2|-13Cdb|@M413.6326T626_1|-(CH3COOH)|-(C2H4O2)|-CH3COOH|@M443.6391T625.78_1|-(C3H6O3)|@M444.642T625.75|-(C2H5NO3)												
M354.112T626.47_2	hilic	M354T626_2	354.112005037437	626.470967964551			1875	234	@M353.1095T626.31|+13C|@M353.6113T626.31_1|+13Cdb|@M414.1337T625.94_2|-(CH3COOH)|-(C2H4O2)|-CH3COOH												
M413.1309T626.1	hilic	M413T626	413.130947711631	626.097059382171		[M-2H]2- 828.276	26	234	@M353.1095T626.31|+(CH3COOH)|+(C2H4O2)|+CH3COOH|@M413.6326T626_1|-13Cdb|@M414.1337T625.94_2|-13C												
M414.6351T625.82	hilic	M415T626	414.635074716047	625.816265461702	[632][M+1]2-		1879	234	@M413.6326T626_1|+13C|@M414.1337T625.94_2|+13Cdb|@M444.642T625.75|-(CH2O)												
M443.6391T625.78_1	hilic	M444T626_1	443.639140132362	625.783706770837			26	234	@M353.6113T626.31_1|+(C3H6O3)|@M413.6326T626_1|+(CH2O)|@M444.642T625.75|-13C												
M444.642T625.75	hilic	M445T626	444.641978849324	625.750980642082			26	234	@M353.6113T626.31_1|+(C2H5NO3)|@M414.6351T625.82|+(CH2O)|@M443.6391T625.78_1|+13C												
M353.234T87.24	hilic	M353T87	353.233972128763	87.2362938992199	[545][M]-		11	235	@M354.2368T87.87|-13C												
M355.0887T560.78	hilic	M355T561	355.088739645333	560.778977737972	[547][M]-	[M+Cl]- 320.124	19	236	@M356.0917T561.05|-13C												
M355.2645T76.21	hilic	M355T76	355.264546464728	76.209313990287		[M-H-H20]- 374.275	5	237	@M357.2804T75.95|-(H2)												
M356.9998T556.54	hilic	M357T557	356.999840981258	556.536417975149	[551][M]-	[M-H-C6H10O5]- 520.06	6	238	@M358.0032T556.75|-13C|@M454.977T555.99|-(H3PO4)|@M519.0527T557.81|-(C6H10O5)												
M393.0446T556.98	hilic	M393T557	393.044637317304	556.983589845438			6	238	@M358.0032T556.75|+(H2O)+(NH3)												
M552.9537T555.58	hilic	M553T556	552.95367946771	555.58319222505		[2M-2H+Na]- 265.994	6	238	@M454.977T555.99|+(H3PO4)|@M650.9306T555.52|-(H3PO4)												
M650.9306T555.52	hilic	M651T556	650.930648968992	555.522699606088		[M-H]- 651.938	6	238	@M552.9537T555.58|+(H3PO4)												
M358.0511T348.74	hilic	M358T349	358.05111493923	348.738752567613		[M+Cl+NH3]- 306.045	4	239	@M360.0491T348.76|-34S|-41K|-37Cl												
M361.1411T327.62	hilic	M361T328	361.141111095596	327.622140654417	[559][M]-	[2M-H]- 181.074	24	240	@M362.1445T327.62|-13C												
M362.0514T585.87	hilic	M362T586	362.05143672985	585.871098407222	[560][M]-	[M+Cl]- 327.084	17	241	@M363.0552T585.89|-13C	GMP;Guanosine 5'-monophosphate;Guanosine monophosphate	C10H14N5O8P	363.058	C00144	Nucleotide metabolism	Purine metabolism	Guanine	CHEBI:17345	HMDB01397	CID6804	RQFCJASXJCIDSX-UUOKFMHZSA-N	InChI=1S/C10H14N5O8P/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(23-9)1-22-24(19,20)21/h2-3,5-6,9,16-17H,1H2,(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1
M363.0687T712.99	hilic	M363T713	363.068685531888	712.993325088613	[562][M]-		1046	242	@M364.0722T713.17|-13C												
M367.1362T322.37	hilic	M367T322	367.136178535774	322.374707970551	[567][M]-	[3M-2H+K]- 110.058	9	243	@M368.1398T321.71|-13C												
M367.8953T1000.49_2	hilic	M368T1000_2	367.895341304964	1000.48520148654	[569][M]2-		31	244	@M368.3971T1000.61|-13Cdb|@M389.8775T1000.34|-Na												
M390.3792T1000.62	hilic	M390T1001	390.379197389709	1000.6173688797	[603][M+1]2-		31	244	@M389.8775T1000.34|+13Cdb												
M369.0991T365.41	hilic	M369T365	369.09911380262	365.412774259906	[571][M]-		4	245	@M370.1027T365.55|-13C|@M371.095T365.81|-34S|-41K|-37Cl												
M369.2288T89.26	hilic	M369T89	369.228842523448	89.2604647533514	[573][M]-		11	246	@M370.2318T89.4|-13C												
M371.0835T409.74	hilic	M371T410	371.083501604116	409.740032512578	[576][M]-	[M+Cl+NaCOOH]- 268.119	20	247	@M372.0869T409.74|-13C												
M371.2443T82.16	hilic	M371T82	371.244269247497	82.1643837669253	[578][M]-	[M+Cl]- 336.268	5	248	@M372.2475T82.26|-13C												
M373.2599T79.1	hilic	M373T79	373.259886692259	79.0992087423906	[580][M]-	[M-H]- 374.275	5	249	@M374.2632T79.08|-13C												
M375.2755T81.11	hilic	M375T81	375.27554703209	81.113007274471	[580][M+2]-		5	250	@M376.2789T81.08|-13C|@M377.2821T81.45_2|-18O|-13C2												
M377.0862T536.45	hilic	M377T536	377.086165893184	536.450317002751	[583][M]-	[3M-H]- 126.034	10	251	@M378.0891T536.09|-13C|@M379.0829T536.35|-34S|-41K|-37Cl												
M377.1206T500.95	hilic	M377T501	377.120578969137	500.94608232368	[584][M]-	[2M-H]- 189.065	15	252	@M378.1241T501.07|-13C												
M379.1008T252.02	hilic	M379T252	379.100789128152	252.020232003934	[586][M]-	[M+Cl+HCOOH]- 298.128	1	253	@M380.1044T252.1|-13C												
M383.1149T369.4	hilic	M383T369	383.114873363109	369.403872675074	[589][M]-	[M+Cl+NH3]- 331.113 [M-H+NH3]- 367.089	309	254	@M384.1185T368.93|-13C												
M384.1236T577.93	hilic	M384T578	384.123575379736	577.925497270678	[590][M+1]-		17	255	@M383.1202T578.6|+13C|@M426.1344T578.03|-(C2H2O)|@M444.1449T577.99|-(CH3COOH)|-(C2H4O2)|-CH3COOH|@M504.1663T578.03|-(C4H8O4)|@M550.1713T578.03|-(C5H10O6)												
M426.1344T578.03	hilic	M426T578	426.134354414937	578.030566405313	[641][M+1]-		17	255	@M383.1202T578.6|+(C2H3O.)|@M384.1236T577.93|+(C2H2O)|@M425.131T578.45|+13C|@M443.1415T578.43|-(OH.)|@M444.1449T577.99|-(H2O)|@M485.152T578.2|-(CH3COO.)|@M504.1663T578.03|-(C2H6O3)|@M541.1357T578.39|-(H3PO4)-(NH3)												
M444.1449T577.99	hilic	M444T578	444.144898578932	577.989717444828	[659][M+1]-		17	255	@M384.1236T577.93|+(CH3COOH)|+(C2H4O2)|+CH3COOH|@M426.1344T578.03|+(H2O)|@M443.1415T578.43|+13C|@M445.1456T578.21|-13C|-15N|@M550.1713T578.03|-(C3H6O4)												
M445.1456T578.21	hilic	M445T578	445.145638242931	578.205263492098	[659][M+2]-		17	255	@M443.1415T578.43|+18O|+13C2|@M444.1449T577.99|+13C|+15N|@M505.1678T577.99|-(CH3COOH)|-(C2H4O2)|-CH3COOH												
M485.152T578.2	hilic	M485T578	485.152035678792	578.204846972702		[M-H-H20]- 504.171	17	255	@M426.1344T578.03|+(CH3COO.)												
M503.1629T577.96	hilic	M503T578	503.162901967103	577.961129523222	[711][M]-	[M-H]- 504.171	17	255	@M383.1202T578.6|+(C4H8O4)|@M425.131T578.45|+(C2H6O3)|@M443.1415T578.43|+(CH3COOH)|+(C2H4O2)|+CH3COOH|@M504.1663T578.03|-13C|@M505.1678T577.99|-18O|-13C2|@M506.1704T577.96|-13C3|-13C-18O|@M539.1393T578.51|-(HCl)|@M549.1681T577.97|-(HCOOH)|-(H2O-CO)|@M564.1788T577.93|-(NH3)-(CO2)	Maltotriose;Amylotriose|Raffinose;Melitose;D-Raffinose	C18H32O16	504.169	C01835|C00492	Carbohydrate metabolism	Carbohydrate digestion and absorption|Galactose metabolism	Others|Sucrose	CHEBI:16634	HMDB01262|HMDB03213	CID439586|CID439242	FYGDTMLNYKFZSV-DZOUCCHMSA-N|MUPFEKGTMRGPLJ-ZQSKZDJDSA-N	InChI=1S/C18H32O16/c19-1-4-7(22)8(23)12(27)17(31-4)34-15-6(3-21)32-18(13(28)10(15)25)33-14-5(2-20)30-16(29)11(26)9(14)24/h4-29H,1-3H2/t4-,5-,6-,7-,8+,9-,10-,11-,12-,13-,14-,15-,16?,17-,18-/m1/s1|InChI=1S/C18H32O16/c19-1-5-8(22)11(25)13(27)16(31-5)30-3-7-9(23)12(26)14(28)17(32-7)34-18(4-21)15(29)10(24)6(2-20)33-18/h5-17,19-29H,1-4H2/t5-,6-,7-,8+,9-,10-,11+,12+,13-,14-,15+,16+,17-,18+/m1/s1
M541.1357T578.39	hilic	M541T578	541.135745350769	578.394535861114	[742][M+2]-		17	255	@M426.1344T578.03|+(H3PO4)+(NH3)|@M539.1393T578.51|+34S|+41K|+37Cl												
M550.1713T578.03	hilic	M550T578	550.171347547102	578.030566405313	[747][M+1]-		17	255	@M384.1236T577.93|+(C5H10O6)|@M444.1449T577.99|+(C3H6O4)|@M549.1681T577.97|+13C												
M565.1823T577.86	hilic	M565T578	565.182331310172	577.861773394958	[758][M+1]-		17	255	@M506.1704T577.96|+(CH3COO.)|@M564.1788T577.93|+13C|@M566.1833T577.74_2|-13C|-15N												
M566.1576T577.74_1	hilic	M566T578_1	566.157592666475	577.736616226263	[758][M+2]-		17	255	@M539.1393T578.51|+(C2H3.)												
M566.1833T577.74_2	hilic	M566T578_2	566.183262933882	577.737805099502	[758][M+2]-		17	255	@M505.1678T577.99|+(NH3)+(CO2)|@M564.1788T577.93|+18O|+13C2|@M565.1823T577.86|+13C|+15N												
M384.1152T499.76	hilic	M384T500	384.115168736637	499.759645656869	[591][M]-		15	256	@M385.1186T499.8|-13C												
M384.153T295.48	hilic	M384T295	384.153013621597	295.483123498928	[592][M]-	[M-H]- 385.16	12	257	@M385.1565T295.63|-13C												
M385.1292T204.61	hilic	M385T205	385.129211304067	204.606957056036	[593][M]-	[M+Cl]- 350.162	8	258	@M386.1327T204.63|-13C|@M387.1251T204.66|-34S|-41K|-37Cl												
M385.6064T590.44_1	hilic	M386T590_1	385.606407506813	590.439416820795	[594][M]2-	[M-H+Cl]2- 737.25 [M-2H]2- 773.227	35	259	@M386.1081T590.27_2|-13Cdb												
M386.034T643.37	hilic	M386T643	386.034033618153	643.371665587095	[595][M]-		2086	260	@M387.0378T643.39|-13C|@M388.0299T643.37|-34S|-41K|-37Cl|@M389.0336T643.46|-13C-37Cl|-13C-34S|@M430.0241T643.32|-(CO2)												
M386.0959T612.62	hilic	M386T613	386.095870206946	612.624359622878			1709	261	@M386.5975T612.59_1|-13Cdb|@M387.0922T612.72_2|-15N												
M387.5944T612.7	hilic	M388T613	387.594446936387	612.70078264195	[598][M+1]2-		1697	261	@M386.5975T612.59_1|+15N|@M387.0922T612.72_2|+13Cdb												
M388.253T76.25	hilic	M388T76	388.253022880771	76.2485388179914		[M+Cl+NH3]- 336.268	5	262	@M386.2378T76.42|+(H2)												
M389.255T82.17	hilic	M389T82	389.255013228512	82.1742337913108			5	263	@M390.2584T82.75|-13C|@M391.2707T86.63|-(H2)												
M392.2738T87.27	hilic	M392T87	392.273772336193	87.2706284600972	[604][M+1]-		11	263	@M391.2707T86.63|+13C												
M391.2861T89.08	hilic	M391T89	391.286100294551	89.0801111535303		[M-H]- 392.286	11	264	@M392.2895T89.09|-13C	Deoxycholic acid|Ursodeoxycholic acid	C24H40O4	392.2927	C04483|C07880	Lipid metabolism	Other bile acids	Others	CHEBI:28834|CHEBI:9907	HMDB00626|HMDB00946	CID222528|CID31401	KXGVEGMKQFWNSR-LLQZFEROSA-N|RUDATBOHQWOJDD-UZVSRGJWSA-N	InChI=1S/C24H40O4/c1-14(4-9-22(27)28)18-7-8-19-17-6-5-15-12-16(25)10-11-23(15,2)20(17)13-21(26)24(18,19)3/h14-21,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15-,16-,17+,18-,19+,20+,21+,23+,24-/m1/s1|InChI=1S/C24H40O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-20,22,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15+,16-,17-,18+,19+,20+,22+,23+,24-/m1/s1
M392.1136T239.16	hilic	M392T239	392.113567023036	239.159021007317	[605][M]-	[M-H-H20]- 411.135	1	265	@M393.1172T238.61|-13C												
M436.2307T177.59	hilic	M436T178	436.230737596728	177.588847850935		[3M-2H+K]- 133.098	22	266	@M392.2045T177.98|+(C2H4O)												
M396.1164T287.98	hilic	M396T288	396.116420054107	287.981794616746	[609][M]-	[M+Cl]- 361.143	12	267	@M397.1201T287.9|-13C												
M398.131T535.9	hilic	M398T536	398.130959063343	535.896742730056			10	268	@M428.1416T539.47|-(CH2O)												
M574.1993T542.35	hilic	M574T542	574.199252939742	542.351001859667	[764][M]-		769	268	@M428.1416T539.47|+(C6H10O4)|@M575.2036T542.19|-13C												
M575.2036T542.19	hilic	M575T542	575.203591238595	542.194291787451	[764][M+1]-		748	268	@M574.1993T542.35|+13C												
M400.1618T204.5	hilic	M400T205	400.161814696233	204.504383092751	[614][M]-		8	269	@M401.1652T204.64|-13C												
M401.1571T327.68	hilic	M401T328	401.157055349002	327.67996541209	[616][M]-		24	270	@M402.1605T327.65|-13C|@M403.1627T327.96|-18O|-13C2												
M401.1571T153.29	hilic	M401T153	401.157060395877	153.294206772016			25	271	@M435.1415T153.63|-(H2S)												
