variableMetadata	chromato	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	name	formula	monoisotopic_mass	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	chebi_id	hmdb_id	pubchem_id	inchikey	inchi	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	mixomics_LAT	mixomics_MX2
M290.1612T123.88	c18hyper	M290T124	290.161167409439	123.878912109795	[426][M]+		3216	177	@M291.1645T124.14|-13C			NA										0.150667099735092	0.637669540868063	0	0.651754795414849	0.00687144272835038	1	0.271631589420512	0.690489450874754	0	0.739340032660206	0.0154146713538824	1	0.430107181385881	0.95337461024966	E	E	E	E	E	E	0	0
M290.6103T641.36_1	c18hyper	M291T641_1	290.610294871103	641.359724130285			2195	178	@M291.6109T641.43_1|-13C|-15N|@M292.6087T641.36_1|-34S|-41K|-37Cl			NA										-0.113302204493172	0.729573578732561	0	-0.521946389633028	0.0346003682402241	1	-0.0305543185433432	0.966935421789451	0	-0.272528331026738	0.273971298658181	0	0.362486787709429	0.0414028134580003	E	E	E	E	E	E	0	0
M291.6109T641.43_1	c18hyper	M292T641_1	291.610899246626	641.43252297715			2197	178	@M290.6103T641.36_1|+13C|+15N|@M292.1127T641.38_2|-13Cdb|@M292.6087T641.36_1|-15N			NA										-0.102947316505123	0.721397176328524	0	-0.620439364921893	0.00851338063072415	1	0.0188392355057481	0.947087572825184	0	-0.317105235391484	0.213839756550379	0	0.135444056354442	0.425635307077116	E	E	E	E	E	E	0	0
M293.1103T641.28_2	c18hyper	M293T641_2	293.1102621889	641.282027482965	[424][M+3]+		2200	178	@M292.1127T641.38_2|+15N			NA										-0.0553974766929191	0.830137118335064	0	-0.673449807984751	0.0132097628548432	1	0.021369790936312	0.948604983050851	0	-0.274352907086749	0.332646306516036	0	0.0573756207242242	0.440874415660264	E	E	E	E	E	E	0	0
M335.9785T62.95	c18hyper	M336T63	335.978525193475	62.9493129439917	[527][M]+	[M+H]+ 334.971	26	179	@M291.9886T62.85|+(CO2)			NA										0.176591416326282	0.51422986337608	0	0.0565041557828501	0.711747032237308	0	0.0108074901868171	0.978610603916234	0	0.0318789528000245	0.869280904298162	0	1.09694527649267	0.0159236885805158	E	E	E	E	E	E	0	0
M294.1883T360.69	c18hyper	M294T361	294.188345381096	360.689831475762	[434][M]2+		4354	180	@M294.6902T360.63|-13Cdb			NA										-0.434445506347721	0.418796428584325	0	-0.567875139871829	0.05755988663877	0	-0.258656660709413	0.668643245523885	0	-0.214829288388296	0.510619851090405	0	1.32445733056956	1.01355078408248	E	E	E	E	E	E	0	0
M295.1304T283.88	c18hyper	M295T284	295.130370956356	283.881165381744	[438][M]+	[M+H]+ 294.123	101	181	@M296.1337T283.8|-13C|@M297.1365T283.63|-18O|-13C2			NA										0.00632780688453138	0.998638406577941	0	-0.0804595584964929	0.677089739980836	0	-0.0662417911754289	0.866020194134996	0	-0.198620749892697	0.283945760198016	0	0.807941814199702	0.379010966213965	E	E	E	E	E	E	0	0
M296.1399T640.7	c18hyper	M296T641	296.139867549689	640.698243264486	[440][M]2+		2202	182	@M296.6416T640.87_1|-13Cdb|@M297.1376T640.7_2|-15N			NA										0.0160171399780111	0.907712561986124	0	-1.01814972169975	0.00018362475457995	1	0.108839828145587	0.739168599161295	0	-0.811983692134302	0.00011184701675462	1	0.454189641520154	0.584401136850371	E	E	E	E	E	E	0	0
M297.6393T640.79	c18hyper	M298T641	297.639288606407	640.789028949838	[440][M+3]2+		2205	182	@M296.6416T640.87_1|+15N|@M297.1376T640.7_2|+13Cdb			NA										0.00504082390415306	0.889149306408096	0	-1.19779949476087	0.000219975398524134	1	0.0877243998722239	0.795150648914544	0	-0.931357533997939	0.000133495941544122	1	0.431146888327319	0.464337721609363	E	E	E	E	E	E	0	0
M296.6375T673.81	c18hyper	M297T674	296.637516788212	673.807063230407			320	183	@M297.6352T673.76_1|-15N			NA										-0.180674023335541	0.673071962114438	0	-0.630649084645523	0.0407327882404341	1	-0.0489462272189058	0.94503390120104	0	-0.215595942112405	0.50185523574234	0	0.27269740853955	0.20525180530087	E	E	E	E	E	E	0	0
M297.1477T697.83	c18hyper	M297T698	297.147690526186	697.83029015311		[3M+2K]2+ 172.125 [M+K]+ 258.186	2	184	@M298.1454T697.96_2|-15N			NA										-0.131320969112902	0.572744162445616	0	-0.324895497321798	0.0382417027699393	1	-0.0102654291283777	0.990661654131365	0	-0.163778682966651	0.323071604240471	0	0.429081510702273	0.416683316014317	E	E	E	E	E	E	0	0
M297.146T137.14	c18hyper	M297T137	297.145994408922	137.144931721127	[443][M]+		127	185	@M298.1493T137.61|-13C			NA										-0.0225074421028051	0.979097424174496	0	0.0471449231907783	0.938062679063618	0	-0.357468184630749	0.775338934256708	0	0.532187765967789	0.447498293620162	0	0.0316517717109484	0.661311124536471	E	E	E	E	E	E	0	0
M298.1227T623.73	c18hyper	M298T624	298.122718316272	623.73424807732	[448][M]2+		58	186	@M298.6252T623.7|-13Cdb|@M300.1285T623.71_2|-18O|-13C2|@M301.126T623.73_2|-13C-37Cl|-13C-18O|-13C-34S			NA										-0.13632951703803	0.767687309158306	0	-0.460702197137335	0.169311071778763	0	-0.187599416892224	0.751697374691314	0	-0.260292631838839	0.408012614352776	0	0.171926306547089	0.379426059991646	E	E	E	E	E	E	0	0
M298.6252T623.7	c18hyper	M299T624	298.625151114446	623.699342553177	[448][M+1]2+		58	186	@M298.1227T623.73|+13Cdb|@M299.6267T623.77_1|-13C|-15N|@M300.6244T623.73_1|-18O|-34S|-41K|-37Cl			NA										-0.176777469983438	0.714479414434996	0	-0.560552706531892	0.102595990949201	0	-0.195230765683213	0.761195493478852	0	-0.193243745137599	0.598633317177733	0	0.269813461094085	0.365967869962995	E	E	E	E	E	E	0	0
M299.6267T623.77_1	c18hyper	M300T624_1	299.626737404575	623.766333255851	[458][M]2+		58	186	@M298.6252T623.7|+13C|+15N|@M300.1285T623.71_2|-13Cdb|@M300.6244T623.73_1|-15N			NA										-0.159423877912854	0.727443199829337	0	-0.442585926001392	0.165485447387535	0	-0.190667004171207	0.739168599161295	0	-0.229947447217604	0.446467937429116	0	0.271855559300572	0.454394282266487	E	E	E	E	E	E	0	0
M301.126T623.73_2	c18hyper	M301T624_2	301.126020396185	623.731553257624	[458][M+3]2+		58	186	@M298.1227T623.73|+13C+37Cl|+13C+18O|+13C+34S|@M300.1285T623.71_2|+15N|@M300.6244T623.73_1|+13Cdb			NA										-0.252972620453081	0.646723191604807	0	-0.549929993269565	0.137210634791799	0	-0.193373984561791	0.767059474124111	0	-0.196781801554383	0.599781166477272	0	0.363925746464425	0.340801677521764	E	E	E	E	E	E	0	0
M298.13T130.08	c18hyper	M298T130	298.130012082606	130.078822401116	[450][M]+		3212	187	@M299.1333T130.18|-13C			NA										-0.307252580251539	0.655583376749556	0	0.324255882457786	0.474683995593481	0	-0.704116739424986	0.193835941079321	0	0.074683833281572	0.817819368685546	0	0.738517056957698	1.85289799127845	E	E	E	E	E	E	0	0
M300.1242T645.06	c18hyper	M300T645	300.124240134038	645.055290373829	[460][M]2+		2206	188	@M300.626T645.06_1|-13Cdb|@M301.1219T645.13_2|-15N			NA										-0.114757369949661	0.762519036861235	0	-0.564711923815608	0.0530656075119731	0	-0.114297676076632	0.85224089538402	0	-0.318683168744318	0.284564127468085	0	0.13316982386516	0.0728185450844796	E	E	E	E	E	E	0	0
M300.2003T502	c18hyper	M300T502	300.20032009503	501.997363784661	[462][M]+		61	189	@M301.2038T501.85|-13C			NA										0.315224335300339	0.706465965792734	0	-0.273317209172127	0.650044784808051	0	0.140781079820886	0.896198528114827	0	0.100427864554312	0.882513909353477	0	0.958639595923178	0.591205921597366	E	E	E	E	E	E	0	0
M300.6344T658.06_1	c18hyper	M301T658_1	300.634381910833	658.058983688479			20	190	@M301.1361T658.06_2|-13Cdb|@M301.6321T658.08_1|-15N			NA										-0.0510536707929212	0.930432200552231	0	0.232448400285836	0.288902969303636	0	0.0873107964025692	0.82418287584751	0	0.448149930607222	0.00541627226332766	1	0.184298940244865	0.863884618742972	E	E	E	E	E	E	0	0
M302.1337T658.02_2	c18hyper	M302T658_2	302.133735097406	658.019704957211	[453][M+3]+		20	190	@M301.1361T658.06_2|+15N|@M301.6321T658.08_1|+13Cdb			NA										-0.0621641516726648	0.90077860279654	0	0.225652912060017	0.299980456204963	0	0.130566907012163	0.752664096384632	0	0.506445596018349	0.00422105683344137	1	0.261651083071323	0.85734185065002	E	E	E	E	E	E	0	0
M302.6304T658.2	c18hyper	M303T658	302.63041960418	658.195827769058	[465][M+1]+		20	190	@M301.6321T658.08_1|+15N			NA										0.0215003841321924	0.926196543008513	0	0.188022877677479	0.367582407948452	0	0.129224161735722	0.758553818547033	0	0.347798749092362	0.0744038282687627	0	0.203795255982449	1.09283613569017	E	E	E	E	E	E	0	0
M301.6422T687.44	c18hyper	M302T687	301.642248180344	687.437189823699	[466][M]2+		2003	191	@M302.64T687.44_1|-15N			NA										-0.137322570215836	0.685216978952204	0	-0.430429165771706	0.0727759045726218	0	-0.166038767047578	0.708133056117933	0	-0.262401752461283	0.234027445884509	0	0.217303472468597	0.488563125012155	E	E	E	E	E	E	0	0
M302.1977T181.99	c18hyper	M302T182	302.197701229533	181.985404649673	[467][M]+		4022	192	@M303.201T181.98|-13C			NA										-0.101231592097403	0.640937657406263	0	-0.0321425511708355	0.809757976347165	0	-0.105023106184127	0.681299180353414	0	-0.0613783025456449	0.696080225747983	0	1.12959778645489	1.17826984439699	E	E	E	E	E	E	0	0
M302.3066T592.55	c18hyper	M302T593	302.306596456302	592.546682903675	[470][M]+		2447	193	@M303.3099T592.53|-13C			NA										0.0980866412246115	0.90077860279654	0	0.3612738044122	0.550070450397571	0	0.38475099095664	0.731869960526049	0	0.349456053719461	0.578182579421042	0	0.285714287920783	1.30077470176948	E	E	E	E	E	E	0	0
M302.6501T736.66	c18hyper	M303T737	302.650141382383	736.66283838465			247	194	@M303.6479T737.43|-15N			NA										-0.00519518131356911	0.947120621645004	0	-0.640342666548257	0.0883897271494642	0	-0.0595836912577141	0.938560435422877	0	-0.255105346193185	0.431643140544492	0	0.23873748691157	0.153162894978758	E	E	E	E	E	E	0	0
M303.2194T526.68	c18hyper	M303T527	303.219378079951	526.677601902034	[469][M+1]+		1596	195	@M304.2119T526.73|-15N			NA										0.471767456056263	0.636974326900514	0	-0.348239502992092	0.634231809563281	0	0.157756474873004	0.906988411947148	0	-0.0829040615681524	0.915263472454914	0	1.08626103458619	0.431344775111856	E	E	E	E	E	E	0	0
M303.6455T623.64	c18hyper	M304T624	303.645512442366	623.636048140552		[M+H-COCH2]+ 344.645	58	196	@M304.6431T623.41|-15N			NA										-0.0555869439145997	0.868057312377681	0	-0.55391543078332	0.0801192293893371	0	0.061282858018032	0.906791274725631	0	-0.200764595609543	0.500512657192915	0	0.109950929898262	0.67277699927285	E	E	E	E	E	E	0	0
M305.0882T175.23	c18hyper	M305T175	305.088166657657	175.23298334364			3053	197	@M327.0703T175.41|-Na			NA										-0.0181949064183922	0.959336064463624	0	-0.222125704091415	0.588441814549944	0	-0.146223663358125	0.878763773235154	0	-0.0802862548723891	0.89823667400172	0	0.197639167366176	0.472432753674092	E	E	E	E	E	E	0	0
M305.2486T779.76	c18hyper	M305T780	305.248609579028	779.760629128637	[475][M]+	[M+H-CO2]+ 348.227	17	198	@M306.252T779.77|-13C			NA										-0.511908626732659	0.440518627828465	0	-0.0337802516450196	0.879628709076953	0	-0.287235671483661	0.684747198954842	0	0.469061680726934	0.225029684939658	0	1.28811203491836	0.247861865405064	E	E	E	E	E	E	0	0
M307.0842T61.42	c18hyper	M307T61	307.084215655036	61.416552157133	[478][M]2+	[M+2H]2+ 612.156	26	199	@M307.5861T61.35|-13Cdb			NA										0.198778813333483	0.910705407023921	0	-0.889334658121285	0.189771782623003	0	0.351536923254539	0.731869960526049	0	-1.0295938254822	0.0675472684136375	0	0.509491299897009	0.630831587924884	E	E	E	E	E	E	0	0
M308.6322T563.05	c18hyper	M309T563	308.632159686802	563.053026481966			3120	200	@M309.6299T563|-15N			NA										1.38778799440096	0.566199421740333	0	-0.819921815899443	0.65928167460056	0	1.5029059167467	0.575016225268023	0	-0.970671361428089	0.473710859002292	0	1.47920067353474	1.71280561495654	E	E	E	E	E	E	0	0
M308.9558T47.97	c18hyper	M309T48	308.955805543366	47.9690935568728			1376	201	@M366.9147T48.04|-(NaCl)			NA										-0.115246712326822	0.596712464454265	0	0.11023599651595	0.456912503875707	0	-0.114387407992792	0.626006859917682	0	0.12715893328132	0.280538392156232	0	0.977575618898544	1.3592836156591	E	E	E	E	E	E	0	0
M364.9176T48.22	c18hyper	M365T48	364.917593325237	48.2222964403908			1419	201	@M366.9147T48.04|-34S|-41K|-37Cl			NA										-0.131340610362582	0.573740442470265	0	0.130078077078048	0.387240002302742	0	-0.131723926559381	0.57761296717832	0	0.180444350211582	0.133701122044999	0	1.11683783408298	1.35164887250581	E	E	E	E	E	E	0	0
M328.1398T112.75	c18hyper	M328T113	328.139804977941	112.753314082478	[516][M]+	[2M+2Na-H]+ 141.59 [M+Na+CF3COOH]+ 171.163	6	202	@M310.1293T112.83|+(H2O)|@M329.1431T112.79|-13C			NA										-0.261276016021242	0.649437998904983	0	1.0211517340579	8.47764569241099e-05	1	-0.150878569133873	0.740207176553758	0	1.15158287282684	0.000100512145555191	1	1.0237186060919	0.0762456499554662	E	E	E	E	E	E	0	0
M310.1555T713.66	c18hyper	M310T714	310.155498300788	713.661593925569	[481][M]2+		7	203	@M310.6572T713.84_1|-13Cdb|@M311.1532T713.85_2|-15N			NA										-0.0586311153312451	0.817092991582144	0	-0.361625954806595	0.0833192429781546	0	-0.0519866669922031	0.904686236676489	0	-0.213652717021315	0.242104016306594	0	0.0435025447915617	0.0340039142919582	E	E	E	E	E	E	0	0
M311.6549T713.86	c18hyper	M312T714	311.65490267525	713.85697041626	[481][M+3]2+		7	203	@M310.6572T713.84_1|+15N|@M311.1532T713.85_2|+13Cdb			NA										-0.13594450311556	0.649437998904983	0	-0.385541190322328	0.0619947479791953	0	-0.0686436466676739	0.868427260193345	0	-0.194698529355502	0.330528326582181	0	0.26889058145936	0.0984050467647223	E	E	E	E	E	E	0	0
M310.6529T743.65	c18hyper	M311T744	310.652873450086	743.649966689039			52	204	@M311.6506T743.4|-15N			NA										-0.195380288379782	0.731718262619332	0	-0.409231273180964	0.299312533124068	0	0.0431387056356254	0.948092772474625	0	-0.0156244979215785	0.971438098638587	0	0.291617538775848	0.606669323055055	E	E	E	E	E	E	0	0
M311.1253T135.59	c18hyper	M311T136	311.125317755743	135.592807503399	[485][M]+	[M+H]+ 310.118	3193	205	@M312.1286T135.52|-13C|@M313.1307T135.49|-18O|-13C2|@M333.1074T135.29|-Na			NA										0.206784286874836	0.532810582559313	0	-0.0989622412571372	0.702211274481995	0	0.0983809436206968	0.767059474124111	0	-0.129384665455191	0.494871131951836	0	1.96980871907007	0.590394274592071	E	E	E	E	E	E	0	0
M312.1121T62.19	c18hyper	M312T62	312.112116979606	62.1942997987833	[487][M]+	[M+Na+HCOOH]+ 243.121	26	206	@M313.1155T62.13|-13C|@M314.1077T62.03|-34S|-41K|-37Cl|@M344.1353T65.08|-(CH3OH)			NA										-0.151091324157104	0.883542963625626	0	0.913449576632036	0.00418594660201313	1	-0.00137845193562924	0.947087572825184	0	1.21345924345082	0.00107142358111598	1	0.68644460871871	0.357254849829287	E	E	E	E	E	E	0	0
M345.1385T65.1	c18hyper	M345T65	345.138470465014	65.0988052878718	[544][M+1]+		18	206	@M313.1155T62.13|+(CH3OH)|@M344.1353T65.08|+13C			NA										-0.14896668194112	0.844886334798309	0	0.822388486594058	0.00196941156311123	1	-0.0821686101930634	0.83845063772754	0	1.12391872546029	0.000328790773921966	1	0.63783311907884	0.0429260565929367	E	E	E	E	E	E	0	0
M312.6344T653.6_1	c18hyper	M313T654_1	312.63438626762	653.597758320879			25	207	@M313.1362T653.55_2|-13Cdb|@M313.6321T653.6_1|-15N			NA										-0.116444414783089	0.649437998904983	0	-0.130769881607364	0.443667246027577	0	0.0587416223291726	0.848191318580115	0	0.122080892312077	0.433177493972474	0	0.647767938871992	0.761010721667547	E	E	E	E	E	E	0	0
M314.1338T653.54_2	c18hyper	M314T654_2	314.133756228426	653.540980083113	[486][M+3]+		25	207	@M313.1362T653.55_2|+15N|@M313.6321T653.6_1|+13Cdb			NA										-0.0855454729540952	0.730607877005878	0	-0.156326758860104	0.35185730110798	0	0.0652193647397361	0.827262993842784	0	0.0897591951519914	0.593563634733546	0	0.536871717730957	0.742892899488013	E	E	E	E	E	E	0	0
M313.6422T690.75_1	c18hyper	M314T691_1	313.642231464169	690.75036626153	[492][M]2+		2008	208	@M314.144T690.54_2|-13Cdb|@M314.64T690.71|-15N			NA										0.0842665184554576	0.925228739283298	0	0.138953868646151	0.825384453247606	0	-0.00605957475983487	0.980752826264312	0	0.485586757619913	0.281313703187724	0	0.230100473163151	0.25231552288969	E	E	E	E	E	E	0	0
M314.1571T356.11	c18hyper	M314T356	314.157117246694	356.110438189444			4197	209	@M314.6589T356.11_1|-13Cdb|@M315.1606T355.91_2|-13C			NA										-0.292731753720332	0.389515301458144	0	-0.237728343107669	0.184150183297813	0	-0.606771993210248	0.0254697537825438	1	0.0524327320041422	0.773126781404615	0	1.58904169785122	2.54126289637065	E	E	E	E	E	E	0	0
M316.2491T490.71	c18hyper	M316T491	316.249109459538	490.713302208459			37	210	@M360.2756T488.77|-(C2H4O)	Decanoylcarnitine;O-Decanoylcarnitine	C17H33NO4	315.24096		Lipid metabolism	Fatty acids	Acylcarnitine	CHEBI:68830	HMDB00651	CID10245190	LZOSYCMHQXPBFU-UHFFFAOYSA-N	InChI=1S/C17H33NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h15H,5-14H2,1-4H3	0.171727926934377	0.772634818524706	0	0.43522544634145	0.300746158890859	0	-0.113509380540249	0.905721665993657	0	-0.260619554257064	0.578182579421042	0	0.553022017602791	0.305381241066422	E	E	E	E	E	E	0	0
M318.0774T418.36	c18hyper	M318T418	318.077378092883	418.356467890323	[499][M]+		38	211	@M354.0549T418.01|-(HCl)			NA										-0.0793611960381089	0.860347080890524	0	0.0959809861329273	0.753163547483964	0	-0.24940998934853	0.513004121619893	0	0.0052092462542408	0.954135387954615	0	0.519050580409488	1.1036409145892	E	E	E	E	E	E	0	0
M318.1694T311.57	c18hyper	M318T312	318.169432035618	311.57270570168	[500][M]+	[M+H]+ 317.162	3681	212	@M319.1723T311.53_3|-13C			NA										-0.00622566179895756	0.706465965792734	0	-1.10394392990701	8.10683133089702e-10	1	-0.275618510530474	0.595118470952923	0	-1.24028348700411	2.05847415616732e-07	1	0.358698666816753	0.588609835057223	E	E	E	E	E	E	0	0
M360.9932T287.07	c18hyper	M361T287	360.993203366919	287.066121575644		[M+Na]+ 337.999	101	213	@M319.9664T287.03|+(CH3CN)|+(C2H3N)|@M403.0195T286.53|-(CH2N2)			NA										0.195765049052	0.66620471434272	0	-0.378920340293449	0.116793910222122	0	0.192431500129825	0.702862141905345	0	-0.182109666030412	0.501538956701323	0	1.08639439405902	0.921798042967584	E	E	E	E	E	E	0	0
M362.0578T403.36	c18hyper	M362T403	362.057781473183	403.360760054437			112	214	@M321.031T403.33|+(CH3CN)|+(C2H3N)			NA										2.01726049669806	0.402602965694696	0	-1.13469129978552	0.471189158981562	0	0.628740643453062	0.832979901530351	0	-1.76217778830488	0.318964017638794	0	1.95713908165803	0.314838240338762	E	E	B	E	E	E	0	0
M417.0739T293.26	c18hyper	M417T293	417.073919447824	293.262548566122			84	215	@M325.026T293.18|+(C3H8O3)			NA										-0.349564736897255	0.910810876011966	0	0.464302834291155	0.818661503312797	0	0.110329803942218	0.945531663617912	0	-0.098982882783039	0.924627080482874	0	0.380577230830141	0.1647822897938	E	E	E	E	E	E	0	0
M325.2069T361.34	c18hyper	M325T361	325.206909203147	361.344017671787	[507][M]2+		107	216	@M325.7087T361.34|-13Cdb			NA										-0.538156865711867	0.210421378327999	0	-1.08138912679932	2.93070492235111e-05	1	-0.311266052850804	0.609309144402875	0	-0.863970135022011	0.000823433108275244	1	1.06945744719409	1.14535730091261	E	E	E	E	E	E	0	0
M327.2331T670.76	c18hyper	M327T671	327.23313374729	670.758133548908	[513][M]+		326	217	@M328.2365T670.76|-13C|@M368.2599T670.73|-(CH3CN)|-(C2H3N)|@M369.2634T670.71|-(C2H4N.)			NA										0.239069729585431	0.83550584114451	0	-0.211798231669771	0.800695483701656	0	0.383070554348329	0.708133056117933	0	-0.199644962321862	0.725386955277534	0	0.629763219897089	1.39484969497761	E	E	E	E	E	E	0	0
M329.2487T768.44	c18hyper	M329T768	329.248694287721	768.443138204048	[518][M]+		415	218	@M330.252T768.41|-13C			NA										-0.338919063969495	0.569988791152791	0	0.0164702808414425	0.987407270588835	0	-0.129309497832878	0.840532099263749	0	0.438708447000543	0.258251379349109	0	0.938359336405124	0.0139235768357425	E	E	E	E	E	E	0	0
M330.1732T330.35	c18hyper	M330T330	330.173209385153	330.351655054173		[M+H]+ 329.166 [M+H-H20]+ 347.182	88	219	@M330.675T330.34_1|-13Cdb|@M331.1764T330.34_2|-13C			NA										0.0908480183178249	0.731673338159727	0	0.477468151521009	0.0209751271492965	1	-0.260626246472214	0.398182646457785	0	0.533315835284757	0.0027003869717508	1	0.0949239144175742	1.12125415804824	E	E	E	E	E	E	0	0
M331.1657T114	c18hyper	M331T114	331.165696164772	113.995118740429	[516][M+2]+		6	220	@M332.1691T114|-13C			NA										0.0641608088409669	0.848020540384743	0	0.1365197390224	0.57701458923801	0	0.00821150279893246	0.990661654131365	0	0.0772177756760364	0.713712287487641	0	0.706487658823754	0.0210853343216293	E	E	E	E	E	E	0	0
M375.0088T373.54	c18hyper	M375T374	375.0088238523	373.5397981047		[M+2H-CO2]2+ 791.98 [M+2H-CO2]2+ 791.98	79	221	@M333.982T373.23|+(CH3CN)|+(C2H3N)			NA										0.406312234134363	0.573255279933667	0	0.117927676628085	0.786037554996725	0	-0.424574284323381	0.653623208458861	0	1.4099530758532	0.00552617723419972	1	0.656858150276137	0.588746484835151	E	E	E	E	E	E	0	0
M426.0299T373.4	c18hyper	M426T373	426.029929616353	373.403915439498	[698][M]+	[M+K+HCOOH]+ 341.052	79	221	@M333.982T373.23|+(C3H8O3)|@M427.0334T373.73|-13C			NA										0.365234486718208	0.54349191945955	0	0.132173906134156	0.714200718439276	0	-0.366414216851283	0.655874730692433	0	1.21643648295719	0.00584314171441654	1	0.719772195034872	0.582129992185847	E	E	E	E	E	E	0	0
M427.0334T373.73	c18hyper	M427T374	427.033400253085	373.731589844031	[698][M+1]+		79	221	@M426.0299T373.4|+13C			NA										0.565557833950191	0.594282392593835	0	-0.024537589038232	0.986486732553321	0	-0.850014153678826	0.689867011567293	0	2.04691235647978	0.0747713756407154	0	0.71115101768373	0.591570604583379	E	E	E	E	E	E	0	0
M438.0288T372.85	c18hyper	M438T373	438.02879872906	372.854514176611			3679	221	@M333.982T373.23|+(C4H8O3)			NA										2.20708376401632	0.501326788537128	0	0.277332924187531	0.850408471068062	0	-1.15746540750003	0.765417585171068	0	4.67161742646841	0.0368928903340457	1	1.01265840689806	0.359426923896848	E	E	B	E	E	E	0	0
M334.1415T314.25	c18hyper	M334T314	334.141506415247	314.254548978155	[524][M]+		1096	222	@M335.1448T314.25|-13C			NA										0.0231496657521113	0.84042300716731	0	0.550754923261444	0.00186407535185331	1	-0.161959268521183	0.640046637525687	0	0.304035461969939	0.0809662593697046	0	0.127464681799548	0.914055363896547	E	E	E	E	E	E	0	0
M334.1414T221.76	c18hyper	M334T222	334.141362541422	221.759565627382	[525][M]+		4576	223	@M335.1448T221.34|-13C			NA										-0.314763369906009	0.460053371472913	0	-0.12083619823235	0.596907889032915	0	-0.249223614784908	0.565737552207145	0	-0.175808074054041	0.44772856933399	0	1.37693956319729	1.23923020899502	E	E	E	E	E	E	0	0
M335.1528T755.41	c18hyper	M335T755	335.152822812126	755.410543822562			2733	224	@M337.1484T755.19|-34S|-41K|-37Cl			NA										-0.168657259542385	0.793716948787706	0	-0.151387031470058	0.745067558530362	0	-0.434068597037564	0.628353166027105	0	0.047786656465588	0.906488276328755	0	0.370512983039162	0.702255225742894	E	E	E	E	E	E	0	0
M377.996T251.62	c18hyper	M378T252	377.995997120161	251.619638591955			2486	225	@M336.9692T251.28|+(CH3CN)|+(C2H3N)			NA										0.0125979243925514	0.988973021448086	0	-0.0199306005941047	0.97252794406438	0	-0.412524947740247	0.678629011710933	0	-0.0567492138536245	0.950464381001192	0	0.156415013636267	0.999680584117389	E	E	E	E	E	E	0	0
M337.1684T789.69	c18hyper	M337T790	337.168369228444	789.693773741882	[530][M]+	[M+H-CH3]+ 351.178	17	226	@M338.1718T789.69|-13C|@M339.1638T789.72|-34S|-41K|-37Cl|@M340.1675T789.67|-13C-37Cl|-13C-34S|@M378.1951T790.31|-(CH3CN)|-(C2H3N)			NA										-0.156630224055959	0.76415474958109	0	-0.0975438639943924	0.781912624681412	0	-0.375246914449072	0.57374313738831	0	-0.0220016674489862	0.986494963341479	0	0.485653478681676	0.792722819112165	E	E	E	E	E	E	0	0
M338.0519T48.38_2	c18hyper	M338T48_2	338.051901325417	48.375109958084			1405	227	@M396.011T49.23|-(NaCl)			NA										-0.407961407993453	0.393909592275068	0	-0.117348707335307	0.628001153994309	0	-0.122897907368891	0.779172562252173	0	0.0485306341612777	0.848008344557924	0	1.65868873930408	0.547298894778601	E	E	E	E	E	E	0	0
M342.1199T107.65	c18hyper	M342T108	342.119926286061	107.651664441113	[542][M]+		69	228	@M343.1234T107.62|-13C|@M359.1465T107.99|-(NH3)|-NH3			NA										-0.677810976850711	0.349127343821838	0	-2.10034655189702	2.85912938116294e-06	1	-1.24436243963831	0.195138745758187	0	-1.94797503600376	0.00120976237489292	1	0.653156384165489	1.58876219402087	E	E	E	E	E	E	0	0
M344.281T542.92	c18hyper	M344T543	344.281028413524	542.923831199839	[545][M]+		1659	229	@M345.2844T542.9|-13C			NA										0.0934066407902048	0.910705407023921	0	0.00747038816586354	0.981229219383414	0	-0.0927823536701524	0.932428059477524	0	-0.336561392257124	0.468489923237273	0	0.420831186375613	0.00533477330668973	E	E	E	E	E	E	0	0
M347.0224T55.84	c18hyper	M347T56	347.022370465109	55.8437622639527		[M+H+CF3COOH]+ 212.015	33	230	@M369.0046T54.97|-Na			NA										0.491401845497396	0.418796428584325	0	-0.2700448776105	0.500671843614188	0	-0.157673340877837	0.833437918609377	0	-0.631374223862508	0.0543435891302328	0	1.97476952191651	0.382930497391767	E	E	E	E	E	E	0	0
