variableMetadata	set	gene	measurement	category	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
Open.field.test.Resting.Time.periphery..s.	preclinical	MX2	Open field test:Resting Time periphery (s)	Open field	-13.0923809523809	0.933868430048111	0	42.2759615384616	0.253995280397663	0	0.757843080761371		0
Open.field.test.Resting.Time.whole.arena..s.	preclinical	MX2	Open field test:Resting Time whole arena (s)	Open field	-11.4057142857143	0.933868430048111	0	43.4413461538462	0.244665744994211	0	0.718445038049897		0
Rotarod.test.Mean.latency	preclinical	MX2	Rotarod test:Mean latency	Rotarod	-10.7360952380952	0.933868430048111	0	36.1401923076923	0.127328372706844	0	0.773984787982744		0
Auditory.startle.reflex.reactivity.and.PPI...P1.P85	preclinical	MX2	Auditory startle reflex reactivity and PPI - P1:P85	Auditory and PPI	-9.51809523809524	0.933868430048111	0	-2.84807692307692	0.935833366390033	0	0.152841125440801		0
Open.field.test.Number.of.Rearings.global	preclinical	MX2	Open field test:Number of Rearings global	Open field	7.45238095238093	0.933868430048111	0	-47.1105769230769	0.0102789973689641	1	0.76093411588488		0
Open.field.test.NEntries.center	preclinical	MX2	Open field test:NEntries center	Open field	4.8952380952381	0.933868430048111	0	-1.30288461538461	0.925407983478676	0	0.738517616794096		0
Pavlovian.fear.conditioning.Freezing.conditioning.post.us1	preclinical	MX2	Pavlovian fear conditioning:Freezing conditioning post-us1	Pavlovian fear cond.	-3.96190476190476	0.933868430048111	0	18.4134615384615	0.129632752806484	0	0.449856017819414		0
Echocardiography.using.the.Vevo.light.LV.Mass.AW..mg.	preclinical	MX2	Echocardiography using the Vevo light:LV Mass AW (mg)	Echocardiography	3.76214285714285	0.933868430048111	0	-23.968125	0.0111836038119468	1	0.829173544969379		0
Echocardiography.using.the.Vevo.light.LV.Mass.AW..Corrected...mg.	preclinical	MX2	Echocardiography using the Vevo light:LV Mass AW (Corrected) (mg)	Echocardiography	3.00723809523811	0.933868430048111	0	-19.1748076923077	0.0111836038119468	1	0.8289499157187		0
Echocardiography.using.the.Vevo.light.LV.Vol_s..uL.	preclinical	MX2	Echocardiography using the Vevo light:LV Vol_s (uL)	Echocardiography	-1.78223809523809	0.933868430048111	0	-6.89759615384615	0.0756614393729307	0	0.11933198414756		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120..LYMPHO....	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:%LYMPHO (%)	Haematology	-1.54475524475525	0.933868430048111	0	-2.41608391608392	0.392878985308602	0	0.649748411658791		0
ECG.in.anaesthetized.conditions.Pdur..ms.	preclinical	MX2	ECG in anaesthetized conditions:Pdur (ms)	ECG	0.463809523809523	0.933868430048111	0	-0.400961538461537	0.778427993949623	0	0.0896772362945797		0
Grip.test.Grip.mean.ratio.4paws...g.g.	preclinical	MX2	Grip test:Grip mean ratio(4paws) (g/g)	Grip test	0.371095238095238	0.933868430048111	0	1.06634615384615	0.116893765611824	0	0.377768072213919		0
Ultrafocus...Densitométrie.osseuse.et.composition.corporelle.sample.area..cm2.	preclinical	MX2	Ultrafocus - Densitométrie osseuse et composition corporelle:sample area (cm2)	Body composition	0.143809523809523	0.933868430048111	0	-2.49485576923077	3.36498523314042e-06	1	0.745277559671174		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.CHCM..g.dL.	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:CHCM (g/dL)	Haematology	0.134265734265735	0.933868430048111	0	-0.0503496503496486	0.872410002839032	0	0.000455744340458464		0
Ultrafocus...Densitométrie.osseuse.et.composition.corporelle.soft.weight..g.	preclinical	MX2	Ultrafocus - Densitométrie osseuse et composition corporelle:soft weight (g)	Body composition	0.133761904761904	0.933868430048111	0	-4.47629807692308	4.97047368776574e-07	1	0.822914917151357		0
Ultrafocus...Densitométrie.osseuse.et.composition.corporelle.total.weight..g.	preclinical	MX2	Ultrafocus - Densitométrie osseuse et composition corporelle:total weight (g)	Body composition	0.133190476190475	0.933868430048111	0	-4.49548076923077	6.01386072959412e-07	1	0.821081352957476		0
Ultrafocus...Densitométrie.osseuse.et.composition.corporelle.body.weight..g.	preclinical	MX2	Ultrafocus - Densitométrie osseuse et composition corporelle:body weight (g)	Body composition	0.125714285714285	0.933868430048111	0	-4.42403846153846	2.21557177962088e-07	1	0.80991897484255		0
Open.field.test.av..speed.whole.arena..cm.s.	preclinical	MX2	Open field test:av. speed whole arena (cm/s)	Open field	0.124714285714285	0.933868430048111	0	0.216201923076923	0.562375829434568	0	0.701601732691478		0
Gross.Pathology.Body.Weight..g.	preclinical	MX2	Gross Pathology:Body Weight (g)	Gross	0.12052380952381	0.933868430048111	0	-4.67182692307692	2.21557177962088e-07	1	0.856864578359373		0
Anapath.body.weight..g.	preclinical	MX2	Anapath:body weight (g)	Anapath	0.120414285714286	0.933868430048111	0	-4.67233173076923	2.21557177962088e-07	1	0.856383137542812		0
Rotarod.test.Passive.rotation..T2.	preclinical	MX2	Rotarod test:Passive rotation (T2)	Rotarod	-0.0952380952380953	0.933868430048111	0	0.00961538461538458	0.978855983727533	0	0.725214596038904		0
Echocardiography.using.the.Vevo.light.LVID_s..mm.	preclinical	MX2	Echocardiography using the Vevo light:LVID_s (mm)	Echocardiography	-0.0752380952380949	0.933868430048111	0	-0.233605769230769	0.087246417873361	0	0.222459039569968		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.MONO..x10E03.cells.µL.	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:MONO (x10E03 cells/µL)	Haematology	-0.0341258741258741	0.933868430048111	0	-0.0565034965034965	0.398158179324629	0	0.00467422171254869		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120..BASO....	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:%BASO (%)	Haematology	0.027972027972028	0.933868430048111	0	0.00559440559440558	0.997642416834717	0	0.702361519662431		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.CHDW..g.dL.	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:CHDW (g/dL)	Haematology	0.0241958041958041	0.933868430048111	0	0.00937062937062949	0.935833366390033	0	0.702787987045271		0
Echocardiography.using.the.Vevo.light.LVPW_s..mm.	preclinical	MX2	Echocardiography using the Vevo light:LVPW_s (mm)	Echocardiography	0.0203809523809524	0.933868430048111	0	-0.0561538461538461	0.303831940010976	0	1.09640245797247		0
Echocardiography.using.the.Vevo.light.LVAW_d..mm.	preclinical	MX2	Echocardiography using the Vevo light:LVAW_d (mm)	Echocardiography	0.0178571428571429	0.933868430048111	0	-0.0777884615384615	0.119824533191455	0	0.67292918366147		0
Echocardiography.using.the.Vevo.light.LVPW_d..mm.	preclinical	MX2	Echocardiography using the Vevo light:LVPW_d (mm)	Echocardiography	0.0178571428571428	0.933868430048111	0	-0.0499038461538461	0.26178213247474	0	0.803923131106135		0
Shock.threshold.test.Vocalization	preclinical	MX2	Shock threshold test:Vocalization	Shock threshold	0.0177619047619048	0.933868430048111	0	-0.0273076923076923	0.564014986438913	0	0.21775031122252		0
Auditory.startle.reflex.reactivity.and.PPI...P1.P75	preclinical	MX2	Auditory startle reflex reactivity and PPI - P1:P75	Auditory and PPI	3.00476190476191	0.946317869465397	0	5.21778846153846	0.571245885659522	0	0.779667280929473		0
Pavlovian.fear.conditioning.Freezing.Pre.cue.1	preclinical	MX2	Pavlovian fear conditioning:Freezing Pre-cue 1	Pavlovian fear cond.	-2.27619047619048	0.966548256195618	0	0.759615384615385	0.935573934495034	0	0.659101650852965		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120..MONO....	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:%MONO (%)	Haematology	-0.263636363636363	0.966548256195618	0	-0.223076923076923	0.848120698677035	0	0.277698086629544		0
Open.field.test.Distance.periphery..cm.	preclinical	MX2	Open field test:Distance periphery (cm)	Open field	152.513333333333	0.971665148181776	0	15.1524038461539	0.995136616821126	0	0.606218599047822		0
Test.de.Tolérance.au.Glucose..GTT..Glucose.T30..mg.dl.	preclinical	MX2	Test de Tolérance au Glucose (GTT):Glucose T30 (mg/dl)	Glucose tolerance test	-7.78571428571428	0.971665148181776	0	-38.5625	0.124529274547715	0	0.114798459139135		0
Test.de.Tolérance.au.Glucose..GTT..Glucose.T30..mmol.l.	preclinical	MX2	Test de Tolérance au Glucose (GTT):Glucose T30 (mmol/l)	Glucose tolerance test	-0.421428571428571	0.972976638167551	0	-2.1	0.126041364275141	0	0.115499910844998		0
Auditory.startle.reflex.reactivity.and.PPI...P1.PP70	preclinical	MX2	Auditory startle reflex reactivity and PPI - P1:PP70	Auditory and PPI	31.0119047619048	0.982152215632872	0	-432.923557692308	0.0058086049508104	1	0.530875377858701		0
Rotarod.test.Trial.2..s.	preclinical	MX2	Rotarod test:Trial 2 (s)	Rotarod	-5.93333333333334	0.982152215632872	0	37.2115384615385	0.186887353985013	0	0.500201198697159		0
Test.de.Tolérance.au.Glucose..GTT..Glucose.T15..mg.dl.	preclinical	MX2	Test de Tolérance au Glucose (GTT):Glucose T15 (mg/dl)	Glucose tolerance test	-5.78571428571428	0.982152215632872	0	-2.54166666666669	0.935833366390033	0	0.529015356495581		0
Pavlovian.fear.conditioning.Freezing.Cue.1	preclinical	MX2	Pavlovian fear conditioning:Freezing Cue 1	Pavlovian fear cond.	4.52380952380952	0.982152215632872	0	39.5576923076923	0.00143362290002066	1	0.428024577311132		0
Pavlovian.fear.conditioning.Freezing.....Cue.1	preclinical	MX2	Pavlovian fear conditioning:Freezing (%) Cue-1	Pavlovian fear cond.	3.77028571428571	0.982152215632872	0	32.9643269230769	0.00143362290002066	1	0.428026654639259		0
ECG.in.anaesthetized.conditions.RR..ms.	preclinical	MX2	ECG in anaesthetized conditions:RR (ms)	ECG	-2.86023809523809	0.982152215632872	0	-16.6685576923077	0.0272555530660041	1	0.344581744931143		0
Open.field.test.Number.of.Rearings.I3	preclinical	MX2	Open field test:Number of Rearings I3	Open field	-2.14761904761905	0.982152215632872	0	-15.6634615384615	0.00896936477347841	1	0.141978713059439		0
Open.field.test.Resting.Time.center..s.	preclinical	MX2	Open field test:Resting Time center (s)	Open field	1.70190476190476	0.982152215632872	0	1.175	0.899891699390979	0	0.317573420598538		0
Open.field.test...Time.Spent.in.the.Center.I1..cm.	preclinical	MX2	Open field test:% Time Spent in the Center I1 (cm)	Open field	-0.807142857142859	0.982152215632872	0	-5.04230769230769	0.0108475102242224	1	0.00317376956863177		0
Open.field.test...distance.in.the.Center.I1..cm.	preclinical	MX2	Open field test:% distance in the Center I1 (cm)	Open field	-0.734761904761903	0.982152215632872	0	-4.75961538461538	0.0340938179835804	1	0.118401221477488		0
Pavlovian.fear.conditioning.Freezing.conditioning.Hab.1	preclinical	MX2	Pavlovian fear conditioning:Freezing conditioning Hab-1	Pavlovian fear cond.	0.619047619047619	0.982152215632872	0	-0.759615384615385	0.822810352286205	0	0.226552115633702		0
Open.field.test...distance.in.the.Center.glob...cm.	preclinical	MX2	Open field test:% distance in the Center glob. (cm)	Open field	0.402380952380952	0.982152215632872	0	-2.20865384615385	0.252352785492284	0	0.568496747575466		0
Test.de.Tolérance.au.Glucose..GTT..Glucose.T15..mmol.l.	preclinical	MX2	Test de Tolérance au Glucose (GTT):Glucose T15 (mmol/l)	Glucose tolerance test	-0.328571428571429	0.982152215632872	0	-0.143750000000001	0.935833366390033	0	0.535586340133894		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.EOSINO..x10E03.cells.µL.	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:EOSINO (x10E03 cells/µL)	Haematology	-0.0255944055944056	0.982152215632872	0	-0.0415384615384616	0.665085752505091	0	0.50498635882876		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.MONO.BRUT..x10E03.cells.µL.	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:MONO BRUT (x10E03 cells/µL)	Haematology	-0.0170629370629371	0.982152215632872	0	-0.0282517482517483	0.571245885659522	0	0.00467422171254869		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.LUC..x10E03.cells.µL.	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:LUC (x10E03 cells/µL)	Haematology	-0.0123076923076923	0.982152215632872	0	-0.0179020979020979	0.693524685445956	0	0.669493934145343		0
Test.de.Tolérance.au.Glucose..GTT..Glucose.auc.positive..0.120...min.mg.dl.	preclinical	MX2	Test de Tolérance au Glucose (GTT):Glucose auc positive (0-120) (min*mg/dl)	Glucose tolerance test	232.285714285716	0.987668834657673	0	-5797.58333333333	0.000123005006541285	1	0.42961037243085		0
Open.field.test.Dist.I3..cm.	preclinical	MX2	Open field test:Dist I3 (cm)	Open field	29.3847619047617	0.987668834657673	0	-132.54375	0.47163674841312	0	0.645867153023191		0
Test.de.Tolérance.au.Glucose..GTT..Glucose.auc.positive..0.120...min.mmol.l.	preclinical	MX2	Test de Tolérance au Glucose (GTT):Glucose auc positive (0-120) (min*mmol/l)	Glucose tolerance test	12.8571428571429	0.987668834657673	0	-319.0625	0.000123005006541285	1	0.430165501896194		0
Auditory.startle.reflex.reactivity.and.PPI...P1...PP70	preclinical	MX2	Auditory startle reflex reactivity and PPI - P1:% PP70	Auditory and PPI	2.34571428571429	0.987668834657673	0	6.53913461538461	0.571245885659522	0	0.617821610475218		0
Open.field.test.Permanence.Time.center..s.	preclinical	MX2	Open field test:Permanence Time center (s)	Open field	1.72952380952381	0.987668834657673	0	-25.9288461538462	0.252352785492284	0	0.446523148966265		0
Open.field.test.Permanence.Time.periphery..s.	preclinical	MX2	Open field test:Permanence Time periphery (s)	Open field	-1.7295238095237	0.987668834657673	0	25.9288461538463	0.252352785492284	0	0.446523148966264		0
Auditory.startle.reflex.reactivity.and.PPI...P1.P70	preclinical	MX2	Auditory startle reflex reactivity and PPI - P1:P70	Auditory and PPI	0.682857142857141	0.987668834657673	0	0.943269230769229	0.8286362005731	0	0.134321378495399		0
Pavlovian.fear.conditioning.Freezing.Cue.2	preclinical	MX2	Pavlovian fear conditioning:Freezing Cue 2	Pavlovian fear cond.	-0.533333333333331	0.987668834657673	0	49.2980769230769	0.000148230301767057	1	0.648850026813234		0
Echocardiography.using.the.Vevo.light.LV.Vol_d..uL.	preclinical	MX2	Echocardiography using the Vevo light:LV Vol_d (uL)	Echocardiography	0.481095238095236	0.987668834657673	0	-11.1805288461538	0.126041364275141	0	0.481423242378463		0
Pavlovian.fear.conditioning.Freezing.....Cue.2	preclinical	MX2	Pavlovian fear conditioning:Freezing (%) Cue-2	Pavlovian fear cond.	-0.443952380952382	0.987668834657673	0	41.0816346153846	0.000148230301767057	1	0.648789533340681		0
Clinical.chemistry.parameters.P.mg.dl..mg.dl.	preclinical	MX2	Clinical chemistry parameters:P mg/dl (mg/dl)	Clinical chemistry	0.315389610389611	0.987668834657673	0	2.10217948717949	8.47008844402529e-05	1	0.0411811158624102		0
Ultrafocus...Densitométrie.osseuse.et.composition.corporelle.BMD..mg.cm2.	preclinical	MX2	Ultrafocus - Densitométrie osseuse et composition corporelle:BMD (mg/cm2)	Body composition	-0.302476190476192	0.987668834657673	0	-0.062596153846151	0.993243550568789	0	0.153822964211985		0
Open.field.test..Time.Spent.in.the.Center.glob	preclinical	MX2	Open field test:%Time Spent in the Center glob	Open field	0.175714285714285	0.987668834657673	0	-2.14951923076923	0.252352785492284	0	0.461520247917177		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.MCV..fL.	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:MCV (fL)	Haematology	0.141958041958041	0.987668834657673	0	0.260839160839161	0.756307834713133	0	0.958843719189839		0
ECG.in.anaesthetized.conditions.QRS..ms.	preclinical	MX2	ECG in anaesthetized conditions:QRS (ms)	ECG	-0.125714285714288	0.987668834657673	0	0.283173076923077	0.848120698677035	0	0.0531908508699287		0
Clinical.chemistry.parameters.P..mmol.l.	preclinical	MX2	Clinical chemistry parameters:P (mmol/l)	Clinical chemistry	0.102532467532467	0.987668834657673	0	0.679038461538461	0.000104715882391948	1	0.0370687987617962		0
Eye.Morphology.Body.weight..g.	preclinical	MX2	Eye Morphology:Body weight (g)	Eye	-0.0695238095238082	0.987668834657673	0	-5.22692307692308	4.54191921489479e-09	1	0.52564428923828		0
Hot.plate.test.Body.weight..g.	preclinical	MX2	Hot plate test:Body weight (g)	Hot plate	-0.0695238095238082	0.987668834657673	0	-5.22692307692308	4.54191921489479e-09	1	0.52564428923828		0
Test.de.Tolérance.au.Glucose..GTT..Glucose.T120..mmol.l.	preclinical	MX2	Test de Tolérance au Glucose (GTT):Glucose T120 (mmol/l)	Glucose tolerance test	-0.0571428571428578	0.987668834657673	0	-1.72708333333333	0.000136399627503363	1	0.53668450470957		0
Open.field.test.av..speed.periphery..cm.s.	preclinical	MX2	Open field test:av. speed periphery (cm/s)	Open field	0.048333333333332	0.987668834657673	0	0.223076923076924	0.514493372352896	0	0.432838768718282		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.NEUTRO..x10E03.cells.µL.	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:NEUTRO (x10E03 cells/µL)	Haematology	-0.0391608391608392	0.987668834657673	0	-0.115244755244755	0.252352785492284	0	0.108832290769305		0
Rotarod.test.Passive.rotation..T1.	preclinical	MX2	Rotarod test:Passive rotation (T1)	Rotarod	-0.0333333333333334	0.987668834657673	0	0.240384615384615	0.372286567626249	0	0.411990901281797		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.RDW....	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:RDW (%)	Haematology	0.0300699300699296	0.987668834657673	0	-0.08041958041958	0.848120698677035	0	0.502102726515777		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.NEUTRO.BRUT..x10E03.cells.µL.	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:NEUTRO BRUT (x10E03 cells/µL)	Haematology	-0.0195804195804196	0.987668834657673	0	-0.0576223776223776	0.350874928744029	0	0.108832290769305		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.EOSINO.BRUT..x10E03.cells.µL.	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:EOSINO BRUT (x10E03 cells/µL)	Haematology	-0.0127972027972028	0.987668834657673	0	-0.0207692307692308	0.743384747417311	0	0.50498635882876		0
Anapath.A2.heart..g.	preclinical	MX2	Anapath:A2 heart (g)	Anapath	-0.00633333333333333	0.987668834657673	0	-0.0240384615384615	0.479580628024766	0	0.156222933325546		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.LUC.BRUT..x10E03.cells.µL.	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:LUC BRUT (x10E03 cells/µL)	Haematology	-0.00615384615384615	0.987668834657673	0	-0.00895104895104895	0.870404071427243	0	0.669493934145343		0
Auditory.startle.reflex.reactivity.and.PPI...P1.PP75	preclinical	MX2	Auditory startle reflex reactivity and PPI - P1:PP75	Auditory and PPI	-21.3023809523809	0.988301065718963	0	-248.901442307692	0.0261372707627925	1	0.0647681875700565		0
Pavlovian.fear.conditioning.context.freezing.con.3	preclinical	MX2	Pavlovian fear conditioning:context freezing con-3	Pavlovian fear cond.	2.39047619047619	0.988301065718963	0	31.2403846153846	0.00821163307947992	1	0.429096791326877		0
Pavlovian.fear.conditioning.Freezing.....Con.3	preclinical	MX2	Pavlovian fear conditioning:Freezing (%) Con-3	Pavlovian fear cond.	1.99347619047619	0.988301065718963	0	26.0335576923077	0.00821163307947992	1	0.428949130966493		0
Test.de.Tolérance.au.Glucose..GTT..Glucose.T120..mg.dl.	preclinical	MX2	Test de Tolérance au Glucose (GTT):Glucose T120 (mg/dl)	Glucose tolerance test	-0.785714285714278	0.988301065718963	0	-31.5	0.000130013937586042	1	0.551348949447186		0
Pavlovian.fear.conditioning.Freezing.Pre.cue.2	preclinical	MX2	Pavlovian fear conditioning:Freezing Pre-cue 2	Pavlovian fear cond.	-0.238095238095241	0.988301065718963	0	15.5	0.0554086908028448	0	0.21656632961958		0
Echocardiography.using.the.Vevo.light.LVID_d..mm.	preclinical	MX2	Echocardiography using the Vevo light:LVID_d (mm)	Echocardiography	0.0101904761904761	0.988301065718963	0	-0.237211538461539	0.164695211689254	0	0.463415086313813		0
Open.field.test.Number.of.Rearings.I2	preclinical	MX2	Open field test:Number of Rearings I2	Open field	0.00476190476189942	0.993164980998536	0	-14.2355769230769	0.0137516690832464	1	0.465296461072497		0
ECG.in.anaesthetized.conditions.HR..bpm.	preclinical	MX2	ECG in anaesthetized conditions:HR (bpm)	ECG	3.90952380952382	0.996201857059625	0	50.3413461538461	0.0278525695442211	1	0.214423752153563		0
Open.field.test.Dist.I2..cm.	preclinical	MX2	Open field test:Dist I2 (cm)	Open field	-3.84095238095233	0.997139280905296	0	-139.542788461539	0.342183780980781	0	0.389102684785674		0
Rotarod.test.Trial.3..s.	preclinical	MX2	Rotarod test:Trial 3 (s)	Rotarod	2.16190476190474	0.997139280905296	0	30.8173076923077	0.359042968583944	0	0.0888656012651526		0
Clinical.chemistry.parameters.T..Chol..mg.dl..mg.dl.	preclinical	MX2	Clinical chemistry parameters:T. Chol. mg/dl (mg/dl)	Clinical chemistry	-0.586547619047622	0.997139280905296	0	-6.51392857142856	0.170969828007418	0	0.0403591504319372		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120..EOSINO....	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:%EOSINO (%)	Haematology	0.262237762237762	0.997139280905296	0	0.92937062937063	0.62681287640189	0	0.1992494796622		0
Clinical.chemistry.parameters.Urea.mg.dl..mg.dl.	preclinical	MX2	Clinical chemistry parameters:Urea mg/dl (mg/dl)	Clinical chemistry	0.179220779220785	0.997139280905296	0	0.603846153846156	0.925407983478676	0	0.425922581275795		0
Pavlovian.fear.conditioning.Freezing.conditioning.Hab.2	preclinical	MX2	Pavlovian fear conditioning:Freezing conditioning Hab-2	Pavlovian fear cond.	-0.123809523809525	0.997139280905296	0	3.16346153846154	0.479580628024766	0	0.455407762697011		0
Clinical.chemistry.parameters.Blood.Urea.Nitrogen.mg.dl..mg.dl.	preclinical	MX2	Clinical chemistry parameters:Blood Urea Nitrogen mg/dl (mg/dl)	Clinical chemistry	0.0837012987012962	0.997139280905296	0	0.282884615384614	0.925407983478676	0	0.425840276028912		0
Ultrafocus...Densitométrie.osseuse.et.composition.corporelle.lean.weight..g.	preclinical	MX2	Ultrafocus - Densitométrie osseuse et composition corporelle:lean weight (g)	Body composition	-0.0710000000000015	0.997139280905296	0	-2.75466346153846	0.00111631589853762	1	0.682608007751838		0
Clinical.chemistry.parameters.Urea..mmol.l.	preclinical	MX2	Clinical chemistry parameters:Urea (mmol/l)	Clinical chemistry	0.0298701298701296	0.997139280905296	0	0.100641025641026	0.925407983478676	0	0.425922581275796		0
Clinical.chemistry.parameters.T..Chol...mmol.l.	preclinical	MX2	Clinical chemistry parameters:T. Chol. (mmol/l)	Clinical chemistry	-0.0151190476190477	0.997139280905296	0	-0.168333333333333	0.186306603777386	0	0.0406036830861388		0
Dysmorphology.IMPC.Transfer.arousal	preclinical	MX2	Dysmorphology IMPC:Transfer arousal	Dysmorphology	0.0142857142857142	0.997139280905296	0	-0.0432692307692308	0.885888194817991	0	0.412672028790896		0
Modified.SHIRPA.Transfer.arousal	preclinical	MX2	Modified SHIRPA:Transfer arousal	SHIRPA	0.0142857142857142	0.997139280905296	0	-0.0432692307692308	0.885888194817991	0	0.412672028790896		0
Ultrafocus...Densitométrie.osseuse.et.composition.corporelle.BMC..g.	preclinical	MX2	Ultrafocus - Densitométrie osseuse et composition corporelle:BMC (g)	Body composition	-0.00185714285714289	0.997139280905296	0	-0.0194711538461538	0.615387870994579	0	0.271273268511475		0
Ultrafocus...Densitométrie.osseuse.et.composition.corporelle.bone.area..cm2.	preclinical	MX2	Ultrafocus - Densitométrie osseuse et composition corporelle:bone area (cm2)	Body composition	-0.00171428571428578	0.997139280905296	0	-0.322451923076922	0.0279720952175412	1	0.284017973846223		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.BASO..x10E03.cells.µL.	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:BASO (x10E03 cells/µL)	Haematology	0.000979020979020979	0.997139280905296	0	-0.000979020979020979	0.993243550568789	0	0.595530309056739		0
Hot.plate.test.Hot.plate.1..s.	preclinical	MX2	Hot plate test:Hot plate 1 (s)	Hot plate	0.000809523809522261	0.997139280905296	0	-0.841778846153847	0.646042447046853	0	0.401960910782427		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.BASO.BRUT..x10E03.cells.µL.	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:BASO BRUT (x10E03 cells/µL)	Haematology	0.00048951048951049	0.997139280905296	0	-0.00048951048951049	0.995136616821126	0	0.595530309056739		0
Ultrafocus...Densitométrie.osseuse.et.composition.corporelle.BMD..g.cm2.	preclinical	MX2	Ultrafocus - Densitométrie osseuse et composition corporelle:BMD (g/cm2)	Body composition	-0.000312380952380953	0.997139280905296	0	-2.98076923076901e-05	0.999335186869425	0	0.149006728295877		0
Dysmorphology.IMPC.Startle.response	preclinical	MX2	Dysmorphology IMPC:Startle response	Dysmorphology	0.038095238095238	0.99999999999998	0	1	5.43236472188667e-25	1	0.426995873047967		0
Modified.SHIRPA.Startle.response	preclinical	MX2	Modified SHIRPA:Startle response	SHIRPA	0.038095238095238	0.99999999999998	0	1	5.43236472188667e-25	1	0.426995873047967		0
